"['time', 'Speed [km/h]']","['time', 'Steer [deg]']","['time', 'Yaw [deg]']","['time', 'ax [m/s²]']","['time', 'ay [m/s²]']","['time', 'az [m/s²]']"
1.1,57.46163749694824,-0.3140635706205578,0.04457993101126581,1.0302516222000122,0.0022573473397642374,0.0006400668062269688
1.11,57.64274368286133,-0.305534051729387,0.04341402639108323,0.7952536344528198,-0.0010345014743506908,0.013152039609849453
1.12,57.75455017089844,-0.3038116434393538,0.0421258120259685,0.6135404706001282,-0.004220673814415932,0.01658051647245884
1.1300000000000001,57.854285430908206,-0.30884626659002007,0.04001530358275439,0.3904719650745392,-0.008455849252641201,0.013802052475512028
1.1400000000000001,57.902845001220705,-0.31203860629463415,0.037864924577270996,0.21994473040103912,-0.01147574931383133,0.008321530185639858
1.1500000000000001,57.92713165283203,-0.2912954818678641,0.03386766975733343,-0.005010549910366535,-0.013795197010040283,0.0004358630976639688
1.16,57.92193374633789,-0.27009153311552975,0.03162808141097666,-0.0801897943019867,-0.014044932089745998,0.0005049966857768595
1.17,57.88942108154297,-0.22852759086018073,0.026936780320282613,-0.17642457783222198,-0.014226340688765049,0.008258800022304058
1.18,57.86667251586914,-0.2139484853757224,0.02473821813216555,-0.2063814401626587,-0.014356385916471481,0.012229368090629578
1.19,57.81254425048828,-0.19055191249768172,0.020585304701765776,-0.24624653160572052,-0.014362694695591927,0.014460702426731586
1.2,57.78250350952148,-0.18030031882180828,0.01863931777317369,-0.2672841548919678,-0.014053485356271267,0.009813833981752396
1.21,57.71826095581055,-0.16083329251149345,0.015016082511360433,-0.28078359365463257,-0.013529298827052116,0.0030986948404461145
1.22,57.649740600585936,-0.14287097555163095,0.011748499835353834,-0.29516470432281494,-0.0122857466340065,-0.0035703156609088182
1.23,57.61437835693359,-0.13707769447499077,0.010241715247982059,-0.30007851123809814,-0.011681896634399891,-0.004707859363406897
1.24,57.541199111938475,-0.20734478634580433,0.007261166436017952,-0.3055826723575592,-0.015922846272587776,-0.004371725022792816
1.25,57.504360580444335,-0.3048777132388311,0.005492274173010265,-0.31890782713890076,-0.028170786798000336,-0.002946292981505394
1.26,57.417702484130864,-0.6148519215372553,-0.00027778680343002696,-0.43430253863334656,-0.04365876317024231,-0.0066491081379354
1.27,57.31506614685059,-0.9005560664762442,-0.009134131538719061,-0.6182297468185425,-0.06593455374240875,-0.016004472970962524
1.28,57.200234985351564,-1.1236360211843843,-0.01995277182170574,-0.8055968284606934,-0.08578603714704514,-0.022998783737421036
1.29,57.0188404083252,-1.3767172616566883,-0.037904731773527475,-1.026473879814148,-0.11059151589870453,-0.021958932280540466
1.3,56.74477272033692,-1.6356642472438578,-0.06628511159501596,-1.2781798839569092,-0.13847029209136963,-0.007401519920676947
1.31,56.5308895111084,-1.769319950243606,-0.08905522806011952,-1.4228571653366089,-0.15429364144802094,0.00561634823679924
1.32,56.23270683288575,-1.8752762479511909,-0.12118144303799101,-1.596677541732788,-0.16939252614974976,0.018476717174053192
1.33,55.96791229248047,-1.893355545240803,-0.14914060896202663,-1.7438557147979736,-0.17584386467933655,0.018099453300237656
1.34,55.60868339538575,-1.829203633791693,-0.18572777123124287,-1.8840581178665161,-0.17645612359046936,0.013391063548624516
1.35,55.30222663879395,-1.695892535179913,-0.21524315306898362,-1.986514687538147,-0.169704869389534,0.006976040080189705
1.36,54.814076614379886,-1.3441924344376164,-0.25757550494617226,-2.121164560317993,-0.1462308019399643,-0.0031987959519028664
1.37,54.558644485473636,-1.0963389567230168,-0.27685587499307535,-2.180070400238037,-0.1283765286207199,-0.007027906831353903
1.3800000000000001,54.03189125061035,-0.45326453345271017,-0.3091240631901692,-2.2265162467956543,-0.08037372678518295,-0.008195064961910248
1.3900000000000001,53.58439750671387,0.25451835496235686,-0.3272748373422285,-2.2115533351898193,-0.02668970637023449,-0.0009720780071802437
1.4000000000000001,53.23520393371582,1.315122295556396,-0.33389123625513456,-2.189357042312622,0.05394408479332924,0.0002893295022659004
1.41,52.80210914611816,1.9373492205716782,-0.32985149952618936,-2.1774673461914062,0.10121556371450424,-0.0006718585500493646
1.42,52.28749923706055,3.3707717799348704,-0.304160436654274,-2.1544764041900635,0.209401935338974,-0.004190191626548767
1.43,51.862657928466795,4.761205342105414,-0.2620526405862627,-2.1370553970336914,0.3128049373626709,-0.0070516187697649
1.44,51.33431167602539,6.759636304094281,-0.17828826782228416,-2.117439031600952,0.4583396017551422,-0.008588351309299469
1.45,51.083311843872075,7.816533372959707,-0.12466885491887754,-2.108691692352295,0.5337023735046387,-0.00843178853392601
1.46,50.58446044921875,10.129197006111944,0.011714183804365138,-2.0916764736175537,0.6951649188995361,-0.00700749596580863
1.47,50.17195472717285,12.260746220590244,0.1576468358409106,-2.077579975128174,0.8398892879486084,-0.0056878686882555485
1.48,49.83981056213379,14.107530334418726,0.2972997517568342,-2.1507389545440674,0.9616798758506775,0.0006032621022313833
1.49,49.39977378845215,16.568471398036415,0.5024274880465215,-2.29691743850708,1.1181340217590332,0.00014482617552857846
1.5,49.02986068725586,18.62103374363175,0.6923696594184341,-2.376368522644043,1.2449144124984741,-0.007196537218987942
1.51,48.459031677246095,21.874555081179597,1.0227494313882417,-2.4251675605773926,1.4416353702545166,-0.019181624054908752
1.52,47.98103370666504,24.780334412609168,1.3417455191674594,-2.409958839416504,1.6128132343292236,-0.02329738810658455
1.53,47.492464828491215,28.008247663411346,1.7161101085665624,-2.36482310295105,1.7977218627929688,-0.02229353040456772
1.54,47.124261474609376,30.64345588106003,2.0366452300648543,-2.303373336791992,1.944429874420166,-0.021169720217585564
1.55,46.59450759887695,34.829255351632305,2.57096111043802,-2.1816349029541016,2.169848918914795,-0.021048469468951225
1.56,46.341152572631835,37.031048792855955,2.863002496988017,-2.120211362838745,2.2845332622528076,-0.021586822345852852
1.57,45.85536117553711,41.652084992814366,3.498881369328568,-2.0174601078033447,2.516915798187256,-0.024289162829518318
1.58,45.46830940246582,45.7094086050987,4.083645026911448,-1.9486559629440308,2.7129130363464355,-0.02851889841258526
1.59,45.16567039489746,49.08968630081094,4.58889589104527,-1.9404488801956177,2.87111234664917,-0.03106362745165825
1.6,44.71472282409668,54.33403190404638,5.411545645909586,-1.935034990310669,3.109722137451172,-0.03871195763349533
1.61,44.34093704223633,58.843677963925636,6.1583798740999365,-1.9348303079605103,3.3108298778533936,-0.0456567257642746
1.62,44.042946624755864,62.531597625139,6.7969107808291565,-1.9357255697250366,3.4725828170776367,-0.05056662857532501
1.6300000000000001,43.671742630004886,67.22526947182591,7.647095162671908,-1.9368244409561157,3.674358606338501,-0.055956728756427765
1.6400000000000001,43.22173576354981,73.04776668264083,8.761205738006769,-1.9380011558532715,3.915217638015747,-0.06252764165401459
1.6500000000000001,42.854294586181645,77.88021431288406,9.739929157387284,-1.9390146732330322,4.106398105621338,-0.06845898926258087
